resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
24106,1005,817,9,3,15,4,4,4,12,53,19.495,5256557,50,4,01:33.2,224.336,1
24107,1005,8,6,7,4,5,5,5,10,53,50.998,5288060,28,12,01:34.2,221.869,1
24108,1005,20,6,5,8,6,6,6,8,53,+1:09.873,5306935,53,1,01:32.3,226.447,1
24109,1005,815,10,11,9,7,7,7,6,53,+1:19.379,5316441,43,9,01:34.1,222.223,1
24110,1005,154,210,8,5,8,8,8,4,53,+1:27.198,5324260,47,15,01:34.8,220.551,1
24111,1005,839,10,31,11,9,9,9,2,53,+1:28.055,5325117,50,14,01:34.7,220.821,1
24112,1005,832,4,55,13,10,10,10,1,52,\N,\N,50,11,01:34.2,221.93,11
24113,1005,842,5,10,7,11,11,11,0,52,\N,\N,35,10,01:34.1,222.081,11
24114,1005,828,15,9,20,12,12,12,0,52,\N,\N,8,19,01:36.3,217.097,11
24115,1005,843,5,28,6,13,13,13,0,52,\N,\N,30,16,01:34.9,220.386,11
24116,1005,4,1,14,18,14,14,14,0,52,\N,\N,28,7,01:33.9,222.53,11
24117,1005,838,1,2,19,15,15,15,0,52,\N,\N,25,18,01:35.0,220.001,11
24118,1005,845,3,35,17,16,16,16,0,52,\N,\N,41,8,01:34.0,222.431,11
24119,1005,840,3,18,14,17,17,17,0,52,\N,\N,41,5,01:33.4,223.934,11
24120,1005,844,15,16,10,\N,R,18,0,38,\N,\N,37,13,01:34.5,221.183,26
24121,1005,807,4,27,16,\N,R,19,0,37,\N,\N,32,17,01:34.9,220.207,5
24122,1005,825,210,20,12,\N,R,20,0,8,\N,\N,6,20,01:39.9,209.244,130
24123,1006,8,6,7,2,1,1,1,25,56,34:18.6,5658643,45,5,01:38.5,201.527,1
24124,1006,830,9,33,18,2,2,2,18,56,1.281,5659924,45,2,01:38.2,202.011,1
24125,1006,1,131,44,1,3,3,3,15,56,2.342,5660985,40,1,01:37.4,203.782,1
24126,1006,20,6,5,5,4,4,4,12,56,18.222,5676865,41,3,01:38.3,201.941,1
24127,1006,822,131,77,3,5,5,5,10,56,24.744,5683387,46,4,01:38.5,201.551,1
24128,1006,807,4,27,7,6,6,6,8,56,+1:27.210,5745853,51,8,01:39.5,199.369,1
24129,1006,832,4,55,11,7,7,7,6,56,+1:34.994,5753637,45,11,01:39.9,198.75,1
24130,1006,815,10,11,10,8,8,8,4,56,+1:41.080,5759723,45,13,01:40.0,198.483,1
24131,1006,843,5,28,20,9,9,9,2,55,\N,\N,32,6,01:39.0,200.547,11
24132,1006,828,15,9,16,10,10,10,1,55,\N,\N,36,9,01:39.6,199.327,11
24133,1006,838,1,2,17,11,11,11,0,55,\N,\N,52,12,01:39.9,198.636,11
24134,1006,842,5,10,19,12,12,12,0,55,\N,\N,33,14,01:40.1,198.273,11
24135,1006,845,3,35,14,13,13,13,0,55,\N,\N,42,7,01:39.2,199.987,11
24136,1006,840,3,18,15,14,14,14,0,54,\N,\N,38,10,01:39.6,199.173,12
24137,1006,844,15,16,9,\N,R,15,0,31,\N,\N,12,16,01:40.5,197.437,130
24138,1006,817,9,3,4,\N,R,16,0,8,\N,\N,49,15,01:40.4,197.612,84
24139,1006,154,210,8,8,\N,R,17,0,2,\N,\N,12,18,01:42.0,194.61,130
24140,1006,4,1,14,13,\N,R,18,0,1,\N,\N,5,17,01:40.9,196.633,4
24141,1006,839,10,31,6,\N,D,19,0,56,\N,\N,\N,0,\N,\N,2
24142,1006,825,210,20,12,\N,D,20,0,56,\N,\N,\N,0,\N,\N,2
24143,1007,830,9,33,2,1,1,1,25,71,38:28.9,5908851,66,2,01:19.2,195.67,1
24144,1007,20,6,5,4,2,2,2,18,71,17.316,5926167,49,4,01:19.5,194.844,1
24145,1007,8,6,7,6,3,3,3,15,71,49.914,5958765,19,5,01:20.3,192.874,1
24146,1007,1,131,44,3,4,4,4,12,71,+1:18.738,5987589,49,8,01:20.7,191.933,1
24147,1007,822,131,77,5,5,5,5,10,70,\N,\N,65,1,01:18.7,196.776,11
24148,1007,807,4,27,7,6,6,6,8,69,\N,\N,67,7,01:20.6,192.15,12
24149,1007,844,15,16,9,7,7,7,6,69,\N,\N,67,6,01:20.5,192.388,12
24150,1007,838,1,2,15,8,8,8,4,69,\N,\N,14,11,01:21.9,189.138,12
24151,1007,828,15,9,10,9,9,9,2,69,\N,\N,18,14,01:22.4,187.947,12
24152,1007,842,5,10,20,10,10,10,1,69,\N,\N,69,17,01:22.8,187.232,12
24153,1007,839,10,31,11,11,11,11,0,69,\N,\N,6,15,01:22.6,187.517,12
24154,1007,840,3,18,17,12,12,12,0,69,\N,\N,27,18,01:23.0,186.717,12
24155,1007,845,3,35,19,13,13,13,0,69,\N,\N,66,16,01:22.6,187.492,12
24156,1007,843,5,28,14,14,14,14,0,69,\N,\N,26,13,01:22.4,187.952,12
24157,1007,825,210,20,16,15,15,15,0,69,\N,\N,45,10,01:21.9,189.246,12
24158,1007,154,210,8,18,16,16,16,0,68,\N,\N,46,9,01:21.4,190.419,13
24159,1007,817,9,3,1,\N,R,17,0,61,\N,\N,57,3,01:19.5,194.991,5
24160,1007,815,10,11,13,\N,R,18,0,38,\N,\N,6,19,01:23.5,185.461,23
24161,1007,832,4,55,8,\N,R,19,0,28,\N,\N,6,12,01:22.4,188.07,22
24162,1007,4,1,14,12,\N,R,20,0,3,\N,\N,3,20,01:24.2,184.025,5
24163,1008,1,131,44,1,1,1,1,25,71,27:09.1,5229066,70,7,01:11.8,216.065,1
24164,1008,830,9,33,5,2,2,2,18,71,1.469,5230535,61,4,01:11.6,216.72,1
24165,1008,8,6,7,4,3,3,3,15,71,4.764,5233830,64,6,01:11.8,216.143,1
24166,1008,817,9,3,11,4,4,4,12,71,5.193,5234259,62,3,01:11.3,217.434,1
24167,1008,822,131,77,3,5,5,5,10,71,22.943,5252009,65,1,01:10.5,219.909,1
24168,1008,20,6,5,2,6,6,6,8,71,26.997,5256063,71,2,01:10.8,219.005,1
24169,1008,844,15,16,7,7,7,7,6,71,44.199,5273265,70,8,01:12.1,215.204,1
24170,1008,154,210,8,8,8,8,8,4,71,51.23,5280296,71,12,01:12.4,214.372,1
24171,1008,825,210,20,10,9,9,9,2,71,52.857,5281923,67,10,01:12.2,214.835,1
24172,1008,815,10,11,12,10,10,10,1,70,\N,\N,58,13,01:12.5,214.046,11
24173,1008,843,5,28,16,11,11,11,0,70,\N,\N,53,15,01:12.9,212.647,11
24174,1008,832,4,55,15,12,12,12,0,70,\N,\N,50,9,01:12.2,214.945,11
24175,1008,842,5,10,9,13,13,13,0,70,\N,\N,55,17,01:13.8,210.132,11
24176,1008,838,1,2,20,14,14,14,0,70,\N,\N,68,16,01:13.0,212.591,11
24177,1008,839,10,31,18,15,15,15,0,70,\N,\N,70,11,01:12.4,214.401,11
24178,1008,845,3,35,14,16,16,16,0,69,\N,\N,52,19,01:14.3,208.887,12
24179,1008,4,1,14,17,17,17,17,0,69,\N,\N,57,14,01:12.6,213.542,12
24180,1008,840,3,18,19,18,18,18,0,69,\N,\N,68,5,01:11.8,216.197,12
24181,1008,807,4,27,13,\N,R,19,0,32,\N,\N,30,18,01:14.0,209.544,25
24182,1008,828,15,9,6,\N,R,20,0,20,\N,\N,3,20,01:15.3,206.059,4
24183,1009,1,131,44,1,1,1,1,25,55,39:40.4,5980382,53,5,01:41.4,197.267,1
24184,1009,20,6,5,3,2,2,2,18,55,2.581,5982963,54,1,01:40.9,198.225,1
24185,1009,830,9,33,6,3,3,3,15,55,12.706,5993088,51,6,01:41.9,196.198,1
24186,1009,817,9,3,5,4,4,4,12,55,15.379,5995761,35,3,01:41.2,197.477,1
24187,1009,822,131,77,2,5,5,5,10,55,47.957,6028339,42,2,01:41.0,198.056,1
24188,1009,832,4,55,11,6,6,6,8,55,+1:12.548,6052930,54,4,01:41.4,197.278,1
24189,1009,844,15,16,8,7,7,7,6,55,+1:30.789,6071171,54,10,01:42.9,194.354,1
24190,1009,815,10,11,14,8,8,8,4,55,+1:31.275,6071657,53,8,01:42.8,194.467,1
24191,1009,154,210,8,7,9,9,9,2,54,\N,\N,54,11,01:43.2,193.753,11
24192,1009,825,210,20,13,10,10,10,1,54,\N,\N,53,9,01:42.8,194.456,11
24193,1009,4,1,14,15,11,11,11,0,54,\N,\N,53,7,01:42.4,195.271,11
24194,1009,843,5,28,16,12,12,12,0,54,\N,\N,53,17,01:44.2,191.932,11
24195,1009,840,3,18,20,13,13,13,0,54,\N,\N,53,16,01:44.0,192.192,11
24196,1009,838,1,2,18,14,14,14,0,54,\N,\N,53,12,01:43.2,193.652,11
24197,1009,845,3,35,19,15,15,15,0,54,\N,\N,54,14,01:43.8,192.566,11
24198,1009,842,5,10,17,\N,R,16,0,46,\N,\N,42,15,01:44.0,192.276,5
24199,1009,839,10,31,9,\N,R,17,0,44,\N,\N,41,13,01:43.6,193.012,5
24200,1009,828,15,9,12,\N,R,18,0,24,\N,\N,22,19,01:46.1,188.489,75
24201,1009,8,6,7,4,\N,R,19,0,6,\N,\N,5,18,01:45.2,190.064,75
24202,1009,807,4,27,10,\N,R,20,0,0,\N,\N,\N,0,\N,\N,4
24203,1010,822,131,77,2,1,1,1,26,58,25:27.3,5127325,57,1,01:25.6,223.075,1
24204,1010,1,131,44,1,2,2,2,18,58,20.886,5148211,57,2,01:26.1,221.839,1
24205,1010,830,9,33,4,3,3,3,15,58,22.52,5149845,57,3,01:26.3,221.327,1
24206,1010,20,6,5,3,4,4,4,12,58,57.109,5184434,16,8,01:28.0,217.054,1
24207,1010,844,6,16,5,5,5,5,10,58,58.203,5185528,58,4,01:26.9,219.621,1
24208,1010,825,210,20,7,6,6,6,8,58,+1:27.156,5214481,56,9,01:28.2,216.493,1
24209,1010,807,4,27,11,7,7,7,6,57,\N,\N,52,12,01:28.4,215.851,11
24210,1010,8,51,7,9,8,8,8,4,57,\N,\N,52,11,01:28.3,216.277,11
24211,1010,840,211,18,16,9,9,9,2,57,\N,\N,29,7,01:27.6,218.011,11
24212,1010,826,5,26,15,10,10,10,1,57,\N,\N,39,6,01:27.4,218.31,11
24213,1010,842,9,10,17,11,11,11,0,57,\N,\N,39,5,01:27.2,218.858,11
24214,1010,846,1,4,8,12,12,12,0,57,\N,\N,17,16,01:28.6,215.581,11
24215,1010,815,211,11,10,13,13,13,0,57,\N,\N,41,15,01:28.5,215.751,11
24216,1010,848,5,23,13,14,14,14,0,57,\N,\N,43,10,01:28.2,216.478,11
24217,1010,841,51,99,14,15,15,15,0,57,\N,\N,29,14,01:28.5,215.766,11
24218,1010,847,3,63,19,16,16,16,0,56,\N,\N,55,17,01:28.7,215.197,12
24219,1010,9,3,88,20,17,17,17,0,55,\N,\N,30,18,01:29.3,213.821,13
24220,1010,154,210,8,6,\N,R,18,0,29,\N,\N,17,13,01:28.5,215.807,36
24221,1010,817,4,3,12,\N,R,19,0,28,\N,\N,18,19,01:29.8,212.478,137
24222,1010,832,1,55,18,\N,R,20,0,9,\N,\N,9,20,01:30.9,210.022,5
24223,1011,1,131,44,3,1,1,1,25,57,34:21.3,5661295,36,2,01:33.5,208.314,1
24224,1011,822,131,77,4,2,2,2,18,57,2.98,5664275,42,3,01:34.2,206.808,1
24225,1011,844,6,16,1,3,3,3,16,57,6.131,5667426,38,1,01:33.4,208.575,1
24226,1011,830,9,33,5,4,4,4,12,57,6.408,5667703,47,9,01:35.3,204.417,1
24227,1011,20,6,5,2,5,5,5,10,57,36.068,5697363,43,4,01:34.9,205.313,1
24228,1011,846,1,4,9,6,6,6,8,57,45.754,5707049,14,12,01:35.8,203.422,1
24229,1011,8,51,7,8,7,7,7,6,57,47.47,5708765,45,11,01:35.6,203.822,1
24230,1011,842,9,10,13,8,8,8,4,57,58.094,5719389,42,8,01:35.3,204.46,1
24231,1011,848,5,23,12,9,9,9,2,57,+1:02.697,5723992,39,16,01:36.8,201.372,1
24232,1011,815,211,11,14,10,10,10,1,57,+1:03.696,5724991,51,14,01:36.3,202.254,1
24233,1011,841,51,99,16,11,11,11,0,57,+1:04.599,5725894,42,7,01:35.2,204.575,1
24234,1011,826,5,26,15,12,12,12,0,56,\N,\N,40,5,01:34.9,205.228,11
24235,1011,825,210,20,6,13,13,13,0,56,\N,\N,41,13,01:35.9,203.178,11
24236,1011,840,211,18,18,14,14,14,0,56,\N,\N,31,17,01:37.0,200.781,11
24237,1011,847,3,63,19,15,15,15,0,56,\N,\N,14,19,01:37.3,200.211,11
24238,1011,9,3,88,20,16,16,16,0,55,\N,\N,13,20,01:37.9,199.005,12
24239,1011,807,4,27,17,\N,R,17,0,53,\N,\N,14,6,01:35.2,204.623,5
24240,1011,817,4,3,10,\N,R,18,0,53,\N,\N,42,15,01:36.7,201.487,60
24241,1011,832,1,55,7,\N,R,19,0,53,\N,\N,42,10,01:35.6,203.829,130
24242,1011,154,210,8,11,\N,R,20,0,16,\N,\N,3,18,01:37.3,200.316,31
24243,1012,1,131,44,2,1,1,1,25,56,32:06.4,5526350,47,5,01:35.9,204.642,1
24244,1012,822,131,77,1,2,2,2,18,56,6.552,5532902,38,4,01:34.9,206.842,1
24245,1012,20,6,5,3,3,3,3,15,56,13.774,5540124,37,2,01:34.8,206.921,1
24246,1012,830,9,33,5,4,4,4,12,56,27.627,5553977,45,6,01:36.1,204.108,1
24247,1012,844,6,16,4,5,5,5,10,56,31.276,5557626,45,3,01:34.9,206.869,1
24248,1012,842,9,10,6,6,6,6,9,56,+1:29.307,5615657,55,1,01:34.7,207.126,1
24249,1012,817,4,3,7,7,7,7,6,55,\N,\N,38,16,01:38.6,198.957,11
24250,1012,815,211,11,12,8,8,8,4,55,\N,\N,37,17,01:38.7,198.816,11
24251,1012,8,51,7,13,9,9,9,2,55,\N,\N,27,12,01:37.8,200.625,11
24252,1012,848,5,23,0,10,10,10,1,55,\N,\N,22,18,01:38.9,198.416,11
24253,1012,154,210,8,10,11,11,11,0,55,\N,\N,37,8,01:36.9,202.57,11
24254,1012,840,211,18,16,12,12,12,0,55,\N,\N,46,7,01:36.7,202.978,11
24255,1012,825,210,20,9,13,13,13,0,55,\N,\N,35,10,01:37.5,201.327,11
24256,1012,832,1,55,14,14,14,14,0,55,\N,\N,44,11,01:37.5,201.263,11
24257,1012,841,51,99,19,15,15,15,0,55,\N,\N,32,14,01:38.0,200.142,11
24258,1012,847,3,63,17,16,16,16,0,54,\N,\N,51,9,01:37.3,201.716,12
24259,1012,9,3,88,18,17,17,17,0,54,\N,\N,28,20,01:39.8,196.684,12
24260,1012,846,1,4,15,18,18,18,0,50,\N,\N,37,15,01:38.3,199.536,4
24261,1012,826,5,26,11,\N,R,19,0,41,\N,\N,27,13,01:38.0,200.291,4
24262,1012,807,4,27,8,\N,R,20,0,16,\N,\N,14,19,01:39.7,196.871,131
24263,1013,822,131,77,1,1,1,1,25,51,31:52.9,5512942,50,2,01:44.0,207.748,1
24264,1013,1,131,44,2,2,2,2,18,51,1.524,5514466,48,3,01:44.2,207.465,1
24265,1013,20,6,5,3,3,3,3,15,51,11.739,5524681,46,4,01:44.6,206.546,1
24266,1013,830,9,33,4,4,4,4,12,51,17.493,5530435,39,5,01:44.8,206.221,1
24267,1013,844,6,16,8,5,5,5,11,51,+1:09.107,5582049,50,1,01:43.0,209.795,1
24268,1013,815,211,11,5,6,6,6,8,51,+1:16.416,5589358,49,7,01:45.5,204.795,1
24269,1013,832,1,55,9,7,7,7,6,51,+1:23.826,5596768,43,10,01:45.8,204.247,1
24270,1013,846,1,4,7,8,8,8,4,51,+1:40.268,5613210,43,6,01:45.4,205.047,1
24271,1013,840,211,18,13,9,9,9,2,51,+1:43.816,5616758,38,12,01:46.0,203.858,1
24272,1013,8,51,7,0,10,10,10,1,50,\N,\N,48,13,01:46.5,202.958,11
24273,1013,848,5,23,11,11,11,11,0,50,\N,\N,49,9,01:45.8,204.349,11
24274,1013,841,51,99,17,12,12,12,0,50,\N,\N,45,11,01:46.0,203.935,11
24275,1013,825,210,20,12,13,13,13,0,50,\N,\N,42,14,01:46.7,202.572,11
24276,1013,807,4,27,15,14,14,14,0,50,\N,\N,43,17,01:47.4,201.204,11
24277,1013,847,3,63,16,15,15,15,0,49,\N,\N,42,16,01:47.3,201.497,12
24278,1013,9,3,88,0,16,16,16,0,49,\N,\N,45,19,01:47.7,200.64,12
24279,1013,842,9,10,0,\N,R,17,0,38,\N,\N,34,8,01:45.7,204.43,7
24280,1013,154,210,8,14,\N,R,18,0,38,\N,\N,33,20,01:48.5,199.146,23
24281,1013,826,5,26,6,\N,R,19,0,33,\N,\N,28,18,01:47.7,200.692,4
24282,1013,817,4,3,10,\N,R,20,0,31,\N,\N,29,15,01:46.8,202.41,4
24283,1014,1,131,44,2,1,1,1,26,66,35:50.4,5750443,54,1,01:18.5,213.499,1
24284,1014,822,131,77,1,2,2,2,18,66,4.074,5754517,55,2,01:18.7,212.835,1
24285,1014,830,9,33,4,3,3,3,15,66,7.679,5758122,57,3,01:19.8,210.081,1
24286,1014,20,6,5,3,4,4,4,12,66,9.167,5759610,64,4,01:19.8,209.947,1
24287,1014,844,6,16,5,5,5,5,10,66,13.361,5763804,57,5,01:20.0,209.469,1
24288,1014,842,9,10,6,6,6,6,8,66,19.576,5770019,57,6,01:20.5,208.08,1
24289,1014,825,210,20,8,7,7,7,6,66,28.159,5778602,66,9,01:20.8,207.478,1
24290,1014,832,1,55,12,8,8,8,4,66,32.342,5782785,59,10,01:20.9,207.249,1
24291,1014,826,5,26,9,9,9,9,2,66,33.056,5783499,64,8,01:20.7,207.591,1
24292,1014,154,210,8,7,10,10,10,1,66,34.641,5785084,64,12,01:21.1,206.743,1
24293,1014,848,5,23,11,11,11,11,0,66,35.445,5785888,65,11,01:21.0,206.817,1
24294,1014,817,4,3,13,12,12,12,0,66,36.758,5787201,56,7,01:20.6,207.876,1
24295,1014,807,4,27,0,13,13,13,0,66,39.241,5789684,65,13,01:21.3,206.171,1
24296,1014,8,51,7,14,14,14,14,0,66,41.803,5792246,66,14,01:21.4,205.917,1
24297,1014,815,211,11,15,15,15,15,0,66,46.877,5797320,65,16,01:21.9,204.717,1
24298,1014,841,51,99,18,16,16,16,0,66,47.691,5798134,64,15,01:21.8,204.782,1
24299,1014,847,3,63,19,17,17,17,0,65,\N,\N,64,17,01:22.4,203.418,11
24300,1014,9,3,88,17,18,18,18,0,65,\N,\N,65,19,01:23.2,201.413,11
24301,1014,840,211,18,16,\N,R,19,0,44,\N,\N,28,20,01:23.2,201.355,4
24302,1014,846,1,4,10,\N,R,20,0,44,\N,\N,28,18,01:22.6,202.977,4
24303,745,418,172,21,15,11,11,11,0,92,\N,\N,\N,\N,\N,\N,18
24304,717,373,172,2,1,\N,R,12,0,54,\N,\N,\N,\N,\N,\N,98
24305,633,333,199,17,18,\N,R,17,0,26,\N,\N,\N,\N,\N,\N,7
24306,1015,1,131,44,1,1,1,1,25,78,43:28.4,6208437,9,6,01:16.2,157.721,1
24307,1015,20,6,5,4,2,2,2,18,78,2.602,6211039,9,9,01:16.3,157.494,1
24308,1015,822,131,77,2,3,3,3,15,78,3.162,6211599,65,2,01:15.2,159.828,1
24309,1015,830,9,33,3,4,4,4,12,78,5.537,6213974,9,7,01:16.2,157.593,1
24310,1015,842,9,10,8,5,5,5,11,78,9.946,6218383,72,1,01:14.3,161.73,1
24311,1015,832,1,55,9,6,6,6,8,78,53.454,6261891,32,5,01:15.9,158.295,1
24312,1015,826,5,26,7,7,7,7,6,78,54.574,6263011,31,10,01:16.3,157.471,1
24313,1015,848,5,23,10,8,8,8,4,78,55.2,6263637,43,3,01:15.6,158.89,1
24314,1015,817,4,3,6,9,9,9,2,78,+1:00.894,6269331,78,4,01:15.7,158.701,1
24315,1015,154,210,8,13,10,10,10,1,78,+1:01.034,6269471,41,16,01:16.7,156.531,1
24316,1015,846,1,4,12,11,11,11,0,78,+1:06.801,6275238,61,13,01:16.4,157.214,1
24317,1015,825,210,20,5,14,14,14,0,77,\N,\N,61,17,01:17.0,156.031,11
24318,1015,815,211,11,16,12,12,12,0,77,\N,\N,67,15,01:16.6,156.803,11
24319,1015,807,4,27,11,13,13,13,0,77,\N,\N,65,8,01:16.3,157.496,11
24320,1015,847,3,63,19,15,15,15,0,77,\N,\N,76,18,01:17.0,155.938,11
24321,1015,840,211,18,17,16,16,16,0,77,\N,\N,45,12,01:16.4,157.284,11
24322,1015,8,51,7,14,17,17,17,0,77,\N,\N,50,14,01:16.4,157.166,11
24323,1015,9,3,88,20,18,18,18,0,77,\N,\N,32,19,01:17.4,155.233,11
24324,1015,841,51,99,18,19,19,19,0,76,\N,\N,46,11,01:16.3,157.448,12
24325,1015,844,6,16,15,\N,R,20,0,16,\N,\N,6,20,01:19.2,151.775,4
24326,1016,1,131,44,2,1,1,1,25,70,29:07.1,5347084,62,4,01:14.8,209.851,1
24327,1016,20,6,5,1,2,2,2,18,70,3.658,5350742,57,5,01:14.9,209.677,1
24328,1016,844,6,16,3,3,3,3,15,70,4.696,5351780,63,2,01:14.4,211.14,1
24329,1016,822,131,77,6,4,4,4,13,70,51.043,5398127,69,1,01:13.1,214.833,1
24330,1016,830,9,33,9,5,5,5,10,70,57.655,5404739,67,3,01:14.8,209.98,1
24331,1016,817,4,3,4,6,6,6,8,69,\N,\N,55,9,01:16.1,206.37,11
